上海频道,#genre#
上视新闻频道,http://192.168.2.1:9988/rtp/239.45.3.11:5140#http://192.168.2.1:9988/rtp/239.45.3.241:5140
东方卫视,http://192.168.2.1:9988/rtp/239.45.3.146:5140#http://192.168.2.1:9988/rtp/239.45.3.21:5140#http://192.168.2.1:9988/rtp/239.45.3.242:5140
上海都市频道,http://192.168.2.1:9988/rtp/239.45.3.236:5140#http://192.168.2.1:9988/rtp/239.45.3.17:5140#http://192.168.2.1:9988/rtp/239.45.3.243:5140
上海纪实人文,http://192.168.2.1:9988/rtp/239.45.3.212:5140#http://192.168.2.1:9988/rtp/239.45.3.16:5140#http://192.168.2.1:9988/rtp/239.45.3.247:5140
东方影视,http://192.168.2.1:9988/rtp/239.45.3.237:5140#http://192.168.2.1:9988/rtp/239.45.3.14:5140#http://192.168.2.1:9988/rtp/239.45.3.245:5140
第一财经,http://192.168.2.1:9988/rtp/239.45.3.211:5140#http://192.168.2.1:9988/rtp/239.45.3.13:5140#http://192.168.2.1:9988/rtp/239.45.3.111:5140
五星体育频道,http://192.168.2.1:9988/rtp/239.45.3.210:5140#http://192.168.2.1:9988/rtp/239.45.3.15:5140#http://192.168.2.1:9988/rtp/239.45.3.112:5140
哈哈炫动,http://192.168.2.1:9988/rtp/239.45.1.55:5140#http://192.168.2.1:9988/rtp/239.45.3.24:5140#http://192.168.2.1:9988/rtp/239.45.3.187:5140
上视外语频道,http://192.168.2.1:9988/rtp/239.45.1.127:5140#http://192.168.2.1:9988/rtp/239.45.3.20:5140#http://192.168.2.1:9988/rtp/239.45.3.249:5140
都市剧场,http://192.168.2.1:9988/rtp/239.45.3.136:5140#http://192.168.2.1:9988/rtp/239.45.3.196:5140
欢笑剧场,http://192.168.2.1:9988/rtp/239.45.3.196:5140
全纪实,http://192.168.2.1:9988/rtp/239.45.3.135:5140
动漫秀场,http://192.168.2.1:9988/rtp/239.45.3.134:5140
生活时尚,http://192.168.2.1:9988/rtp/239.45.3.132:5140
游戏风云,http://192.168.2.1:9988/rtp/239.45.3.131:5140
MAX极速汽车,http://192.168.2.1:9988/rtp/239.45.3.49:5140#http://192.168.2.1:9988/rtp/239.45.1.211:5140
看看新闻,http://httpslive.kksmg.com/hls/sdi7000/playlist.m3u8
劲爆体育,http://itv.ahau.edu.cn/PLTV/2/224/3221226045/2.m3u8
教育台,http://192.168.2.1:9988/rtp/239.45.3.122:5140#http://192.168.2.1:9988/rtp/239.45.3.252:5140
东方财经,http://192.168.2.1:9988/rtp/239.45.1.119:5140#http://192.168.2.1:9988/rtp/239.45.3.192:5140
上海纪实,http://192.168.2.1:9988/rtp/239.45.1.103:5140
七彩戏剧,http://192.168.2.1:9988/rtp/239.45.3.61:5140#http://192.168.2.1:9988/rtp/239.45.1.112:5140
法治天地,http://192.168.2.1:9988/rtp/239.45.1.46:5140#http://192.168.2.1:9988/rtp/239.45.1.192:5140
浦东频道,http://192.168.2.1:9988/rtp/239.45.3.248:5140#http://192.168.2.1:9988/rtp/239.45.3.23:5140
崇明电视,http://192.168.2.1:9988/rtp/239.45.1.54:5140
嘉定频道,http://192.168.2.1:9988/rtp/239.45.3.185:5140
金色频道,http://192.168.2.1:9988/rtp/239.45.1.118:5140#http://192.168.2.1:9988/rtp/239.45.3.51:5140
健康人生,http://192.168.2.1:9988/rtp/239.45.3.214:5140
百事通超级体育,http://192.168.2.1:9988/rtp/239.45.1.248:5140#http://192.168.2.1:9988/rtp/239.45.3.153:5140

中央频道,#genre#
CCTV1,http://192.168.2.1:9988/rtp/239.45.3.145:5140#http://192.168.2.1:9988/rtp/239.45.1.15:5140#http://192.168.2.1:9988/rtp/239.45.1.16:5140#http://192.168.2.1:9988/rtp/239.45.1.21:5140#http://192.168.2.1:9988/rtp/239.45.1.22:5140#http://192.168.2.1:9988/rtp/239.45.3.25:5140#http://192.168.2.1:9988/rtp/239.45.3.76:5140#http://192.168.2.1:9988/rtp/239.45.3.188:5140#http://192.168.2.1:9988/rtp/239.45.3.244:5140#http://192.168.2.1:9988/rtp/239.45.3.246:5140#http://192.168.2.1:9988/rtp/239.45.3.251:5140
CCTV2,http://192.168.2.1:9988/rtp/239.45.3.26:5140#http://192.168.2.1:9988/rtp/239.45.3.189:5140#http://192.168.2.1:9988/rtp/239.45.1.109:5140
CCTV3,http://192.168.2.1:9988/rtp/239.45.1.68:5140#http://192.168.2.1:9988/rtp/239.45.3.27:5140#http://192.168.2.1:9988/rtp/239.45.3.113:5140
CCTV4,http://192.168.2.1:9988/rtp/239.45.3.28:5140#http://192.168.2.1:9988/rtp/239.45.3.190:5140
